mid,formula,site_index,cation,anion,cn,q,r0,b,n_shells_in_material,shell_weight,R_1,R_2,R_3,R_4,R_5,R_6
mp-1003313,Li2Mn3O6,0,Li,O,6,1,1.35822243996,0.436896278669,4,0.25,1.9846731173,2.05481060533,2.08515647608,2.08515647608,2.25564232574,2.25564232574
mp-1003313,Li2Mn3O6,1,Li,O,6,1,1.35822243996,0.436896278669,4,0.25,1.9846731173,2.05481060533,2.08515647608,2.08515647608,2.25564232574,2.25564232574
mp-1003313,Li2Mn3O6,2,Li,O,6,1,1.35822243996,0.436896278669,4,0.25,1.9846731173,2.05481060533,2.08515647608,2.08515647608,2.25564232574,2.25564232574
mp-1003313,Li2Mn3O6,3,Li,O,6,1,1.35822243996,0.436896278669,4,0.25,1.9846731173,2.05481060533,2.08515647608,2.08515647608,2.25564232574,2.25564232574
mp-1003637,LiMn3O6,0,Li,O,6,1,3.62572669825,-0.826189526606,2,0.5,1.87513832417,2.02361898212,2.02361898212,2.05889456114,2.54403142346,2.54403142346
mp-1003637,LiMn3O6,1,Li,O,6,1,3.62572669825,-0.826189526606,2,0.5,1.87513832417,2.02361898212,2.02361898212,2.05889456114,2.54403142346,2.54403142346
mp-1004762,LiMn4O8,0,Li,O,6,1,1.95408439271,0.0887687884171,4,0.25,1.89240264655,1.99991829922,1.99991829922,2.12378487178,2.44649840595,2.44649840595
mp-1004762,LiMn4O8,1,Li,O,6,1,1.95408439271,0.0887687884171,4,0.25,1.89240264655,1.99991829922,1.99991829922,2.12378487178,2.44649840595,2.44649840595
mp-1004762,LiMn4O8,2,Li,O,6,1,1.95408439271,0.0887687884171,4,0.25,1.89240264655,1.99991829922,1.99991829922,2.12378487178,2.44649840595,2.44649840595
mp-1004762,LiMn4O8,3,Li,O,6,1,1.95408439271,0.0887687884171,4,0.25,1.89240264655,1.99991829922,1.99991829922,2.12378487178,2.44649840595,2.44649840595
mp-1013762,LiTi2P2O9,0,Li,O,6,1,3.70323226495,-0.734241753845,4,0.25,1.97388427154,2.40152523233,2.40152523233,2.42001481191,2.42001481191,2.73514184243
mp-1013762,LiTi2P2O9,1,Li,O,6,1,3.70323226495,-0.734241753845,4,0.25,1.97388427154,2.40152523233,2.40152523233,2.42001481191,2.42001481191,2.73514184243
mp-1013762,LiTi2P2O9,2,Li,O,6,1,3.70323226495,-0.734241753845,4,0.25,1.97388427154,2.40152523233,2.40152523233,2.42001481191,2.42001481191,2.73514184243
mp-1013762,LiTi2P2O9,3,Li,O,6,1,3.70323226495,-0.734241753845,4,0.25,1.97388427154,2.40152523233,2.40152523233,2.42001481191,2.42001481191,2.73514184243
mp-1020060,LiB(S2O7)2,0,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.124121717,2.14739396575,2.15966180201,2.16857066658,2.20224251861,2.2591037995
mp-1020060,LiB(S2O7)2,1,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.124121717,2.14739396575,2.15966180201,2.16857066658,2.20224251861,2.2591037995
mp-1020060,LiB(S2O7)2,2,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.124121717,2.14739396575,2.15966180201,2.16857066658,2.20224251861,2.2591037995
mp-1020060,LiB(S2O7)2,3,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.124121717,2.14739396575,2.15966180201,2.16857066658,2.20224251861,2.2591037995
mp-1020060,LiB(S2O7)2,4,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.09639828329,2.14702056744,2.15535570183,2.16444575477,2.16652772392,2.29230791528
mp-1020060,LiB(S2O7)2,5,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.09639828329,2.14702056744,2.15535570183,2.16444575477,2.16652772392,2.29230791528
mp-1020060,LiB(S2O7)2,6,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.09639828329,2.14702056744,2.15535570183,2.16444575477,2.16652772392,2.29230791528
mp-1020060,LiB(S2O7)2,7,Li,O,6,1,1.86300648584,0.172158660233,8,0.125,2.09639828329,2.14702056744,2.15535570183,2.16444575477,2.16652772392,2.29230791528
mp-1031034,LiMg6CrO8,0,Li,O,6,1,3.10601423554,-0.540766482943,1,1,2.1021905,2.1021905,2.1021905,2.1021905,2.20078388703,2.20078388703
mp-1031142,LiMg6GaO8,0,Li,O,6,1,1.67924761332,0.275654409067,1,1,2.12289627,2.12289627,2.12289627,2.12289627,2.31396534645,2.31396534645
mp-1031344,LiMg6TiO8,0,Li,O,6,1,3.30518679684,-0.649776492299,1,1,2.099008,2.099008,2.099008,2.099008,2.21747626164,2.21747626164
mp-1032403,LiMg6MnO8,0,Li,O,6,1,1.72712994115,0.249425396124,1,1,2.12856463,2.12856463,2.12856463,2.12856463,2.30145314008,2.30145314008
